liga,temporada,equipo,sector,passes,avg_dist,completion
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,12,1420,17.23,87.2
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,13,1476,19.02,85.0
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,14,1099,18.91,74.5
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,15,1295,21.34,62.9
Germany_Bundesliga,2025-2026,Hamburger SV,0,1280,23.46,53.9
Germany_Bundesliga,2025-2026,Hamburger SV,1,968,21.36,68.8
Germany_Bundesliga,2025-2026,Hamburger SV,2,1022,19.21,79.7
Germany_Bundesliga,2025-2026,Hamburger SV,3,1010,18.07,86.2
Germany_Bundesliga,2025-2026,Hamburger SV,4,698,16.43,91.1
Germany_Bundesliga,2025-2026,Hamburger SV,5,624,16.27,95.2
Germany_Bundesliga,2025-2026,Hamburger SV,6,507,16.52,94.9
Germany_Bundesliga,2025-2026,Hamburger SV,7,469,15.2,93.2
Germany_Bundesliga,2025-2026,Hamburger SV,8,482,14.84,94.8
Germany_Bundesliga,2025-2026,Hamburger SV,9,512,15.37,96.5
Germany_Bundesliga,2025-2026,Hamburger SV,10,584,15.94,96.2
Germany_Bundesliga,2025-2026,Hamburger SV,11,750,16.75,89.1
Germany_Bundesliga,2025-2026,Hamburger SV,12,914,18.0,87.1
Germany_Bundesliga,2025-2026,Hamburger SV,13,996,19.29,80.6
Germany_Bundesliga,2025-2026,Hamburger SV,14,926,22.36,68.4
Germany_Bundesliga,2025-2026,Hamburger SV,15,1212,24.69,55.0
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,0,1681,22.09,59.3
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,1,1229,18.55,74.6
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,2,1260,17.54,81.5
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,3,1202,16.72,84.9
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,4,943,14.97,88.0
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,5,671,13.8,92.7
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,6,592,14.17,93.9
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,7,590,14.32,94.6
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,8,671,13.97,94.0
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,9,624,14.71,93.6
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,10,710,13.94,92.3
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,11,895,16.1,88.5
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,12,1208,17.56,84.1
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,13,1204,17.86,78.2
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,14,1071,18.63,68.9
Germany_Bundesliga,2025-2026,TSG 1899 Hoffenheim,15,1541,23.61,59.0
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,0,1324,20.17,63.2
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,1,1090,18.43,75.1
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,2,1334,17.4,86.0
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,3,1452,18.0,89.9
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,4,1194,17.08,91.2
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,5,860,15.59,94.0
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,6,651,15.65,94.6
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,7,577,13.25,93.8
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,8,550,13.49,94.7
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,9,640,15.06,96.4
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,10,806,15.23,96.0
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,11,1064,16.37,91.3
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,12,1503,17.84,87.4
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,13,1414,18.23,84.9
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,14,1134,18.66,71.6
Germany_Bundesliga,2025-2026,RasenBallsport Leipzig,15,1336,21.79,60.0
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,0,1329,25.35,52.4
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,1,881,22.5,61.7
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,2,993,20.0,77.3
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,3,922,19.62,84.8
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,4,683,17.57,85.4
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,5,560,16.62,94.6
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,6,407,18.11,96.1
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,7,415,16.49,92.3
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,8,452,16.08,93.1
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,9,461,16.92,94.4
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,10,499,17.26,95.0
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,11,666,17.29,89.0
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,12,946,18.57,83.6
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,13,936,19.91,78.3
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,14,881,23.39,61.2
Germany_Bundesliga,2025-2026,1. FC Heidenheim 1846,15,1155,26.04,50.5
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,0,1497,19.46,67.2
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,1,1387,16.95,79.5
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,2,1777,17.05,87.2
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,3,1675,16.44,90.0
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,4,1433,14.59,92.7
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,5,963,13.36,96.0
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,6,903,13.84,96.6
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,7,796,12.83,95.9
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,8,845,12.93,95.7
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,9,987,13.56,97.2
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,10,1097,13.48,95.7
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,11,1268,15.02,92.7
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,12,1693,17.23,90.9
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,13,1584,17.51,86.6
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,14,1256,15.79,81.5
Germany_Bundesliga,2025-2026,Bayer 04 Leverkusen,15,1369,19.7,67.3
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,0,1439,21.68,58.2
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,1,1104,16.95,72.7
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,2,1263,16.44,80.9
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,3,1022,16.33,85.1
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,4,846,15.66,90.4
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,5,745,14.95,95.2
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,6,598,14.98,95.0
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,7,520,13.8,93.7
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,8,544,13.59,94.1
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,9,577,14.39,93.1
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,10,663,14.51,94.3
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,11,862,15.62,92.5
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,12,1146,16.26,88.9
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,13,1153,16.93,82.1
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,14,1072,17.51,73.4
Germany_Bundesliga,2025-2026,Borussia VfL Mönchengladbach,15,1346,22.47,58.6
Germany_Bundesliga,2025-2026,1. FC Köln,0,1370,23.82,55.5
Germany_Bundesliga,2025-2026,1. FC Köln,1,1032,19.95,71.0
Germany_Bundesliga,2025-2026,1. FC Köln,2,992,18.26,83.2
Germany_Bundesliga,2025-2026,1. FC Köln,3,1183,18.12,87.2
Germany_Bundesliga,2025-2026,1. FC Köln,4,884,16.18,89.3
Germany_Bundesliga,2025-2026,1. FC Köln,5,623,15.04,94.5
Germany_Bundesliga,2025-2026,1. FC Köln,6,567,15.54,96.6
Germany_Bundesliga,2025-2026,1. FC Köln,7,456,14.42,93.6
Germany_Bundesliga,2025-2026,1. FC Köln,8,523,14.69,93.9
Germany_Bundesliga,2025-2026,1. FC Köln,9,524,15.99,96.8
Germany_Bundesliga,2025-2026,1. FC Köln,10,709,16.43,95.9
Germany_Bundesliga,2025-2026,1. FC Köln,11,805,16.64,91.3
Germany_Bundesliga,2025-2026,1. FC Köln,12,1098,17.44,84.5
Germany_Bundesliga,2025-2026,1. FC Köln,13,954,18.72,80.4
Germany_Bundesliga,2025-2026,1. FC Köln,14,832,19.38,69.2
Germany_Bundesliga,2025-2026,1. FC Köln,15,1213,23.61,52.3
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,0,1496,21.62,59.7
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,1,1337,18.17,74.9
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,2,1576,16.55,85.7
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,3,1368,16.39,88.4
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,4,1118,14.59,90.5
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,5,787,13.89,95.6
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,6,692,14.45,96.7
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,7,624,13.7,95.0
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,8,651,12.67,95.1
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,9,719,13.91,96.1
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,10,792,14.28,94.7
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,11,991,15.15,90.2
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,12,1399,17.06,85.1
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,13,1480,16.91,81.3
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,14,1189,17.82,72.6
Germany_Bundesliga,2025-2026,VfB Stuttgart 1893,15,1322,21.58,60.4
Germany_Bundesliga,2025-2026,FC Augsburg,0,1408,23.23,54.7
Germany_Bundesliga,2025-2026,FC Augsburg,1,1014,19.14,68.5
Germany_Bundesliga,2025-2026,FC Augsburg,2,1024,17.39,81.0
Germany_Bundesliga,2025-2026,FC Augsburg,3,1019,17.41,85.4
Germany_Bundesliga,2025-2026,FC Augsburg,4,697,15.14,86.4
Germany_Bundesliga,2025-2026,FC Augsburg,5,569,15.25,91.4
Germany_Bundesliga,2025-2026,FC Augsburg,6,525,15.85,95.4
Germany_Bundesliga,2025-2026,FC Augsburg,7,473,14.99,95.3
Germany_Bundesliga,2025-2026,FC Augsburg,8,460,14.24,92.4
Germany_Bundesliga,2025-2026,FC Augsburg,9,486,15.8,93.2
Germany_Bundesliga,2025-2026,FC Augsburg,10,551,14.31,94.4
Germany_Bundesliga,2025-2026,FC Augsburg,11,665,16.37,88.7
Germany_Bundesliga,2025-2026,FC Augsburg,12,1084,17.89,83.4
Germany_Bundesliga,2025-2026,FC Augsburg,13,969,19.02,77.6
Germany_Bundesliga,2025-2026,FC Augsburg,14,921,19.91,68.9
Germany_Bundesliga,2025-2026,FC Augsburg,15,1289,24.15,53.1
Germany_Bundesliga,2025-2026,FC Bayern München,0,1526,17.02,75.8
Germany_Bundesliga,2025-2026,FC Bayern München,1,1647,16.29,83.0
Germany_Bundesliga,2025-2026,FC Bayern München,2,1976,16.58,88.5
Germany_Bundesliga,2025-2026,FC Bayern München,3,2013,16.33,90.0
Germany_Bundesliga,2025-2026,FC Bayern München,4,1648,14.76,92.4
Germany_Bundesliga,2025-2026,FC Bayern München,5,1166,13.6,95.3
Germany_Bundesliga,2025-2026,FC Bayern München,6,967,13.77,96.4
Germany_Bundesliga,2025-2026,FC Bayern München,7,963,12.89,96.6
Germany_Bundesliga,2025-2026,FC Bayern München,8,952,12.76,96.6
Germany_Bundesliga,2025-2026,FC Bayern München,9,1055,13.55,97.1
Germany_Bundesliga,2025-2026,FC Bayern München,10,1138,13.47,95.5
Germany_Bundesliga,2025-2026,FC Bayern München,11,1543,14.97,94.3
Germany_Bundesliga,2025-2026,FC Bayern München,12,2005,16.32,91.5
Germany_Bundesliga,2025-2026,FC Bayern München,13,2042,17.79,89.1
Germany_Bundesliga,2025-2026,FC Bayern München,14,1592,17.01,86.4
Germany_Bundesliga,2025-2026,FC Bayern München,15,1526,17.37,74.7
Germany_Bundesliga,2025-2026,1. FC Union Berlin,0,1472,25.85,46.1
Germany_Bundesliga,2025-2026,1. FC Union Berlin,1,935,21.4,59.8
Germany_Bundesliga,2025-2026,1. FC Union Berlin,2,885,18.21,73.1
Germany_Bundesliga,2025-2026,1. FC Union Berlin,3,757,16.68,79.1
Germany_Bundesliga,2025-2026,1. FC Union Berlin,4,579,16.19,84.5
Germany_Bundesliga,2025-2026,1. FC Union Berlin,5,451,15.06,92.9
Germany_Bundesliga,2025-2026,1. FC Union Berlin,6,384,15.71,94.8
Germany_Bundesliga,2025-2026,1. FC Union Berlin,7,385,14.69,93.5
Germany_Bundesliga,2025-2026,1. FC Union Berlin,8,433,13.7,91.0
Germany_Bundesliga,2025-2026,1. FC Union Berlin,9,423,14.43,93.6
Germany_Bundesliga,2025-2026,1. FC Union Berlin,10,485,15.15,95.7
Germany_Bundesliga,2025-2026,1. FC Union Berlin,11,574,15.71,88.3
Germany_Bundesliga,2025-2026,1. FC Union Berlin,12,778,17.65,80.3
Germany_Bundesliga,2025-2026,1. FC Union Berlin,13,809,18.19,75.0
Germany_Bundesliga,2025-2026,1. FC Union Berlin,14,824,19.92,62.4
Germany_Bundesliga,2025-2026,1. FC Union Berlin,15,1152,23.79,50.2
England_Premier_League,2025-2026,Leeds United FC,0,1435,23.91,53.9
England_Premier_League,2025-2026,Leeds United FC,1,1030,19.53,66.6
England_Premier_League,2025-2026,Leeds United FC,2,1123,17.48,79.7
England_Premier_League,2025-2026,Leeds United FC,3,1105,16.45,85.0
England_Premier_League,2025-2026,Leeds United FC,4,855,15.44,89.6
England_Premier_League,2025-2026,Leeds United FC,5,617,15.9,95.5
England_Premier_League,2025-2026,Leeds United FC,6,555,15.73,96.6
England_Premier_League,2025-2026,Leeds United FC,7,518,14.46,95.6
England_Premier_League,2025-2026,Leeds United FC,8,561,14.32,94.3
England_Premier_League,2025-2026,Leeds United FC,9,602,16.12,94.9
England_Premier_League,2025-2026,Leeds United FC,10,678,15.09,93.8
England_Premier_League,2025-2026,Leeds United FC,11,781,16.82,89.1
England_Premier_League,2025-2026,Leeds United FC,12,1080,17.0,84.4
England_Premier_League,2025-2026,Leeds United FC,13,962,17.43,81.6
England_Premier_League,2025-2026,Leeds United FC,14,884,18.63,70.6
England_Premier_League,2025-2026,Leeds United FC,15,1360,23.99,53.1
England_Premier_League,2025-2026,Brighton & Hove Albion FC,0,1400,21.66,60.1
England_Premier_League,2025-2026,Brighton & Hove Albion FC,1,1301,18.89,73.8
England_Premier_League,2025-2026,Brighton & Hove Albion FC,2,1523,18.65,80.9
England_Premier_League,2025-2026,Brighton & Hove Albion FC,3,1305,17.04,85.1
England_Premier_League,2025-2026,Brighton & Hove Albion FC,4,988,15.22,90.8
England_Premier_League,2025-2026,Brighton & Hove Albion FC,5,735,14.98,94.3
England_Premier_League,2025-2026,Brighton & Hove Albion FC,6,663,15.1,96.4
England_Premier_League,2025-2026,Brighton & Hove Albion FC,7,592,14.04,93.6
England_Premier_League,2025-2026,Brighton & Hove Albion FC,8,654,14.03,95.7
England_Premier_League,2025-2026,Brighton & Hove Albion FC,9,765,13.73,94.4
England_Premier_League,2025-2026,Brighton & Hove Albion FC,10,874,14.16,95.5
England_Premier_League,2025-2026,Brighton & Hove Albion FC,11,1103,15.4,90.9
England_Premier_League,2025-2026,Brighton & Hove Albion FC,12,1336,17.48,86.2
England_Premier_League,2025-2026,Brighton & Hove Albion FC,13,1233,18.69,83.4
England_Premier_League,2025-2026,Brighton & Hove Albion FC,14,1153,19.04,77.3
England_Premier_League,2025-2026,Brighton & Hove Albion FC,15,1335,21.29,61.0
England_Premier_League,2025-2026,Arsenal FC,0,1425,21.61,58.8
England_Premier_League,2025-2026,Arsenal FC,1,1181,18.1,70.8
England_Premier_League,2025-2026,Arsenal FC,2,1245,17.31,84.7
England_Premier_League,2025-2026,Arsenal FC,3,1294,16.23,87.8
England_Premier_League,2025-2026,Arsenal FC,4,1310,15.87,90.3
England_Premier_League,2025-2026,Arsenal FC,5,943,14.81,94.6
England_Premier_League,2025-2026,Arsenal FC,6,649,14.41,93.8
England_Premier_League,2025-2026,Arsenal FC,7,538,13.77,92.4
England_Premier_League,2025-2026,Arsenal FC,8,530,13.42,92.1
England_Premier_League,2025-2026,Arsenal FC,9,648,14.45,95.8
England_Premier_League,2025-2026,Arsenal FC,10,820,14.95,94.8
England_Premier_League,2025-2026,Arsenal FC,11,1174,16.43,93.3
England_Premier_League,2025-2026,Arsenal FC,12,1405,16.52,89.4
England_Premier_League,2025-2026,Arsenal FC,13,1198,17.06,83.6
England_Premier_League,2025-2026,Arsenal FC,14,1249,19.29,74.9
England_Premier_League,2025-2026,Arsenal FC,15,1249,21.53,61.5
England_Premier_League,2025-2026,Burnley FC,0,1257,21.07,53.9
England_Premier_League,2025-2026,Burnley FC,1,996,18.71,69.6
England_Premier_League,2025-2026,Burnley FC,2,1102,17.21,80.9
England_Premier_League,2025-2026,Burnley FC,3,1092,16.61,86.5
England_Premier_League,2025-2026,Burnley FC,4,803,14.54,89.0
England_Premier_League,2025-2026,Burnley FC,5,562,13.94,92.7
England_Premier_League,2025-2026,Burnley FC,6,509,13.84,93.7
England_Premier_League,2025-2026,Burnley FC,7,515,13.81,94.8
England_Premier_League,2025-2026,Burnley FC,8,539,13.78,94.2
England_Premier_League,2025-2026,Burnley FC,9,542,14.31,95.8
England_Premier_League,2025-2026,Burnley FC,10,658,13.66,94.4
England_Premier_League,2025-2026,Burnley FC,11,795,15.49,90.8
